<S> w a n d e r e,wandered
<S> s w a r,swarthy
<S> p o,pomftey
<S> b l o c k i n,blocking
<S> c u r,curse
<S> p u s,push
<S> h,human
<S> c,casually
<S> b e d t i,bedtime
<S> m y s,mysteriously
<S> v a,vanished
<S> l,limp
<S> h,herbology
<S> c a,cane
<S> s h,shed
<S> r e a l l,really
<S> a,all
<S> h,handkerchief
<S> d,didn'
<S> f l,flicking
<S> i r o n,irongray
<S> t a w n,tawny
<S> t r o,troll
<S> n o,none
<S> s,sold
<S> w,who's
<S> s t r u g g l i,struggling
<S> t o n,tongue
<S> l o t,lotta
<S> b e a t e,beater
<S> h u d d,huddle
<S> w a,water
<S> s h o v,shoveling
<S> r,ravenclaw
<S> p a c,packages
<S> w a t,watch
<S> l u c,luck
<S> f r i d,friday
<S> n,no
<S> g o i n,goin'
<S> b r e a k f,breakfast
<S> g r u m b l,grumbled
<S> g e,gently
<S> b,bursting
<S> m o v i,moving
<S> d o,dodges
<S> u,unusually
<S> f r,friendship
<S> s u,suspected
<S> p o p u l,popular
<S> f l,flared
<S> w a i,waist
<S> i n,invisible
<S> e a t i,eating
<S> l i s,list
<S> w o,woman
<S> s,sn
<S> s h,share
<S> h e a,headmaster
<S> b e l i e,believed
<S> d o,dota
<S> r o m,romania
<S> s e i,seized
<S> c,ceremony
<S> t a,tart
<S> c o,coward
<S> b i r d,birds
<S> u,unfolding
<S> r,rocketed
<S> c,cliodna
<S> o p,opinion
<S> d r a,draconis
<S> h o b b,hobbled
<S> r u i,ruined
<S> o p i,opinion
<S> s,scrambling
<S> w i,wickedly
<S> r e,rest
<S> f r,freeze
<S> s o r c e r e,sorcerer's
<S> s c,scuffles
<S> s h a m,shame
<S> k i l,killin'
<S> s t i f f,stiffly
<S> c,concen
<S> h a l,halfway
<S> l,lumpy
<S> p l,placed
<S> a t t,attention
<S> d r,dragons
<S> d e,defense
<S> t,tinned
<S> g a t e,gateway
<S> m a l f,malfay
<S> b u,bustling
<S> f,face
<S> t r o,trouble
<S> t,thirteen
<S> c,crime
<S> n,new
<S> o u g h t,oughta
<S> p r,practice
<S> b r e,breaking
<S> b l o,blonde
<S> n o t,note
<S> d a p p l,dappled
<S> i c,icy
<S> c a,calling
<S> g r,grunting
<S> s l,slip
<S> p i c k e,picked
<S> s p,speech
<S> q u,quirrell's
<S> a r m,armor
<S> h,heel
<S> p a t,patted
<S> p a,paisley
<S> d,deep
<S> l i n,lingered
<S> r e v e,reveal
<S> m i,middle
<S> p e e,peeves's
<S> p r,prune
<S> d,d'yeh
<S> m a,many
<S> a,annoying
<S> b,bewildered
<S> r o,rocker
<S> r i,rising
<S> s t e n,stench
<S> g,gaps
<S> s c r,scrabbling
<S> g a l l e o,galleon
<S> f,frantic
<S> d d o n,ddon't
<S> f u,future
<S> i,insultin'
<S> a l i c i,alicia
<S> d,dinky
<S> f i,fists
<S> j e,jet
<S> d,decorations
<S> g,goblins
<S> f,fitted
<S> s n,snape
<S> l i g,lightning
<S> n,neither
<S> t w i n,twins'
<S> i n,inside
<S> s t,stained
<S> b e g u,begun
<S> u n w r a p p i,unwrapping
<S> d a,daddy
<S> g o g,goggle
<S> u n,unwrap
<S> s e c u,security
<S> m u,muffled
<S> t r o l,trolley
<S> d e f,defense
<S> a,ages
<S> g a r d e,garden
<S> a n,announced
<S> d o i,doin'
<S> a d m i,admirers
<S> w h,whap
<S> n,nicholas
<S> h,hid
<S> d i m p l e,dimpled
<S> h o n e s t,honestly
<S> h,hooded
<S> r e s,rest
<S> h o v e,hovered
<S> r,ronan
<S> a s,asleep
<S> e,extra
<S> c,cauldrons
<S> f r i g,fright
<S> s t,stretching
<S> p u m,pumpkin
<S> a a a a r g,aaaargh
<S> b o,boat
<S> d,daddy's
<S> c r a,crashing
<S> e,explain
<S> c h o,chose
<S> s,sincerely
<S> d e c l,declared
<S> m o n t h,months
<S> g,galleon
<S> s a v,save
<S> f a l,faltered
<S> s,seventy
<S> d d o n ',ddon't
<S> s w,swipe
<S> s p e,speaking
<S> n e,nerves
<S> s t,stain
<S> g,get
<S> d r,draco
<S> a t t a,attack
<S> f i,firs'
<S> m i n,mine's
<S> k,kip
<S> s t r,straightening
<S> t h,them
<S> c a,capture
<S> b r u s,brushed
<S> s,suspicious
<S> s h,shriek
<S> d,don't
<S> f i n,finding
<S> l,learn
<S> h o,horribly
<S> m o t o,motorcycle
<S> b e,bet
<S> m a n,manage
<S> b e,beaming
<S> o,often
<S> p o w e r,powers
<S> v a,valuable
<S> t a p e s t,tapestry
<S> b u t t,butter
<S> w,we'd
<S> s e,sense
<S> l o o,looking
<S> s e a s o,season
<S> b,bit
<S> u n p,unpleasant
<S> a b,able
<S> r o a r,roaring
<S> f o,forgive
<S> s i g n a t,signature
<S> l o,lonely
<S> b r i,brilliantly
<S> h a d n ',hadn't
<S> m e a s,measure
<S> s,silence
<S> r o n,ronnie
<S> c h,chasers
<S> m o u t h,mouths
<S> t,testing
<S> t,time
<S> s h,she'll
<S> a,acting
<S> s,specimen
<S> h,handknitted
<S> e f,effect
<S> m i l,millicent
<S> g,gloomy
<S> b o,borrowed
<S> p,potter's
<S> s,spiders
<S> r u e f,ruefully
<S> e a,earn
<S> a l o u,aloud
<S> a b s,absolutely
<S> i t,it'd
<S> b a,balloons
<S> f i n,fingertips
<S> c r o u c h i n,crouching
<S> a d v e n,adventure
<S> w,wasn'
<S> s n,snatched
<S> d o r,dormitories
<S> g r e,grew
<S> f r i d a,friday
<S> b,barks
<S> p e,perks
<S> t e,television
<S> t a b,tables
<S> c r i,cried
<S> c o n c,concentrating
<S> s t,stalactite
<S> s,scared
<S> h,having
<S> e s c a p i n,escaping
<S> f a n,fancy
<S> y e l l,yellow
<S> p u,puddin'
<S> f a m i,families
<S> g,grandfather
<S> u,unexpected
<S> f,fat
<S> p o r,porridge
<S> c o n c e,concentrating
<S> s t i f f i l,stiffily
<S> f o,fourlegged
<S> c,chuckle
<S> b l,blaise
<S> w i n,wings
<S> e n,england
<S> s t a t i o,station
<S> p e n,pence
<S> v i,victims
<S> i n c,including
<S> f l i,flint
<S> h,holds
<S> m,melted
<S> s,same
<S> s i l k i l,silkily
<S> l o,loyalties
<S> h,hat
<S> c,cara
<S> t,that
<S> f u t,future
<S> b a,bald
<S> s u n b u,sunburn
<S> i n t e,interrupted
<S> h o v e r,hovered
<S> ','you
<S> u,until
<S> s,seven
<S> w h i p,whipped
<S> k e,keeping
<S> r e,referee
<S> e,expected
<S> r e,redheaded
<S> e,eaten
<S> b a,ball's
<S> c o r n e,corner
<S> n o,nor
<S> m,mm
<S> b,bestplayed
<S> g o,good
<S> h e r,hermlone
<S> d a s h,dashed
<S> p r o,professor
<S> f r,fred
<S> p,poorer
<S> p e r h a p,perhaps
<S> d i,difference
<S> w o,wouldn't
<S> e v e r y b o,everybody
<S> d,desserts
<S> g l,gloomily
<S> n e p h e,nephew
<S> r a t t l i n,rattling
<S> h e,hebridean
<S> b,bag
<S> i m p r,impressed
<S> c,crazy
<S> a,aside
<S> c o,concern
<S> t h r e s,threshold
<S> s a v,savaging
<S> c h e c,check
<S> s,scraping
<S> s,scars
<S> g,grimly
<S> r e f u,refuse
<S> h u n,hundred
<S> d,dozen
<S> h e a v,heavens
<S> s e c o n d,seconds
<S> s,sir
<S> p a s s a,passageway
<S> t h,that
<S> k,knows
<S> p p p o t t e,pppotter
<S> l e,learning
<S> s p e,spent
<S> b,bleaaargh
<S> n e w,newspapers
<S> s,slipped
<S> b u,bustled
<S> l e,let
<S> t r o u,trouble
<S> f,fit
<S> d,down
<S> r,run
<S> m o u t,mouth
<S> c a n,cane
<S> c o,color
<S> c h,cheered
<S> g r,grubby
<S> g,given
<S> i n c l,including
<S> h i,hissed
<S> h o l d,holding
<S> k,kick
<S> c,common
<S> a b o,abou'
<S> q u e,question
<S> r u b b e,rubber
<S> s u p,supple
<S> l,luck
<S> a b s o,absolutely
<S> e s c a,escape
<S> h u,humans
<S> w i n,window
<S> t,try
<S> s n i,snigget
<S> m e d d,meddlin'
<S> e,expecting
<S> s m,smiled
<S> s o b,sobbed
<S> m a,mahogany
<S> t o,toast
<S> h,hermione's
<S> s q u,squinting
<S> p,photographs
<S> w h,wheeling
<S> h,hadn't
<S> p e,percy'd
<S> s,spoil
<S> m a l k,malkin
<S> d,demands
<S> d,do
<S> p a s s,passages
<S> c,complained
<S> s c i e n,science
<S> c r o w d,crowded
<S> w,wears
<S> f l,fluff
<S> l a,laughter
<S> c,complete
<S> d o o,doors
<S> r i b,ribs
<S> t h u n d,thunderous
<S> g e o,george's
<S> s,sunk
<S> l o u,loud
<S> g r e,greener
<S> g a,gaps
<S> s,spawn
<S> c r,crown
<S> p,potter'
<S> s,scribbled
<S> b r,breaks
<S> h i,hid
<S> w a t c,watching
<S> w h e,whelk
<S> s t,streaked
<S> s,strength
<S> b a w l i,bawling
<S> b i n,binoculars
<S> c r o s,crossly
<S> f o,folk
<S> l,listen
<S> l,list
<S> h,hate
<S> l e a,learning
<S> s w e a,sweat
<S> w a,waving
<S> n,nervously
<S> f i r,firm
<S> s c,screeched
<S> o f,offended
<S> c,cold
<S> b a,baking
<S> t h,thatthat
<S> m o,motionless
<S> i m p o r t,important
<S> r,run
<S> p o i n t,points
<S> p,piercing
<S> g o r,gorgons
<S> f l,flinched
<S> w a i,waited
<S> s,summer
<S> c,crouching
<S> y,you'd
<S> c o,complicated
<S> c o m m i t,committing
<S> f l u t,flute
<S> a n t i,antidark
<S> h o,hot
<S> s,squashy
<S> w,without
<S> w h o,who'd
<S> s c,screaming
<S> s n a r l e,snarled
<S> b,breeding
<S> s t r,stranded
<S> b,ball
<S> l e a t h e,leather
<S> v i o,violently
<S> p e,petunia
<S> c c,cccan't
<S> i t,itself
<S> d i v,dive
<S> s t,step
<S> t o w e r e,towered
<S> l i,lily
<S> b r,brocklehurst
<S> j o r d a,jordan's
<S> d r u i,druidess
<S> t,there
<S> h a i,hair
<S> d e m,demanded
<S> m e,met
<S> f e,feathers
<S> m o,more'n
<S> t,though
<S> d e m,demand
<S> e x t r a o r d i n a,extraordinary
<S> g,games
<S> d o r m,dormitories
<S> p o,potter'
<S> c,careless
<S> b r,brazilian
<S> m a r,marcus
<S> m i n,minute
<S> r e m,reminds
<S> c,city
<S> f i,fitted
<S> m i d,middle
<S> m e r,mercy
<S> f o l l,followed
<S> h,hurried
<S> s,see
<S> s c a r,scarlet
<S> f u,funny
<S> b e l o,belonged
<S> g o,golden
<S> p,parts
<S> s a,saturday
<S> f i r,firstyear
<S> s l,slytherins
<S> s t i t c,stitch
<S> d,deafening
<S> s o m e t h i n,something
<S> f u n g,fungi
<S> i l l,illegal
<S> n o,nope
<S> d u m b,dumbledore
<S> h e a d,headmaster
<S> f r e e z,freezing
<S> n a,nagging
<S> t r,trunks
<S> s,some
<S> u s u a l,usually
<S> g o o,good
<S> c o m,commanded
<S> u n i,unicorn's
<S> s i,sit
<S> e v e r y,everywhere
<S> a p,applause
<S> s,seizing
<S> p,percent
<S> t r e v o,trevor
<S> b a r r i,barrier
<S> p,person
<S> b e c,become
<S> f,flailed
<S> e n e m i,enemies
<S> s e,sent
<S> g l o o,gloomylooking
<S> p o p p e,popped
<S> d u m b f o u n d,dumbfounded
<S> r o,ron
<S> h o a,hoarse
<S> t o m o,tomorrow
<S> l,letter
<S> b i,biggest
<S> g r o w y o u r o w n w a,growyourownwarts
<S> c h,cheery
<S> m,man's
<S> c a l,call
<S> s,school's
<S> n a,nasty
<S> t o i l e t,toilets
<S> p a,page
<S> s q u,squealed
<S> h,hear
<S> f l a,flattering
<S> t u,turkey
<S> h,hoarse
<S> r a g,raged
<S> t h i n,things
<S> b l i,blimey
<S> e,especially
<S> a l w a y,always
<S> g r,growled
<S> u p r o,uproar
<S> h,hind
<S> s,straining
<S> l,lied
<S> b,bet
<S> t i n,tiny
<S> d i f,difference
<S> m o,mortis
<S> r e,reeled
<S> c l,clicked
<S> r e d d,reddish
<S> c o n s t r i c,constrictor
<S> w i,win
<S> p i,pile
<S> p,parvati
<S> l o o k,looking
<S> s t,stitches
<S> c a c k l,cackle
<S> b o t,bottom
<S> m a,maniacs
<S> d i v e,diversion
<S> y o u,young
<S> g l o o m,gloomylooking
<S> t a,taking
<S> r,ruff
<S> g,glass
<S> a c,across
<S> d,dragon
<S> d e f i n,definitely
<S> n u t,nuts
<S> e v e n i,evenings
<S> e,excuse
<S> p e,perched
<S> h e,heaven
<S> g r,growls
<S> v i,visitors
<S> p a j a,pajamas
<S> t h,their
<S> s u,suppose
<S> l i,limp
<S> n e r v,nerve
<S> p e p p e r m i,peppermint
<S> c h e,chewing
<S> u p,upright
<S> g i,girl
<S> g e,genius
<S> c h,checkmate
<S> o o,oooooh
<S> r,rules
<S> s u n d,sundays
<S> r e m o,removed
<S> t w,twitched
<S> m a l,malfoys
<S> b r,breeding
<S> d,dentists
<S> s n e e,sneer
<S> n e a,nearest
<S> f l o a t,floated
<S> w h a,whap
<S> r a s p,raspberry
<S> s i l,silk
<S> l,look
<S> s o u n,sounding
<S> c h i p,chipped
<S> j o,joined
<S> h a g,hags
<S> s i n g,singsong
<S> p u t t,putting
<S> n o t h,nothin'
<S> h o i s t,hoisted
<S> d,doris
<S> s h a,shaking
<S> y e a,year's
<S> f u n,funny
<S> s n,snape's
<S> l i o n,lionfish
<S> o,oooooooh
<S> b,by
<S> h e r,herbs
<S> w h,whizzing
<S> b o,box
<S> s u g a,sugar
<S> d r,drain
<S> h e,herbology
<S> n o v e,november
<S> e,eh
<S> n,nothing
<S> b o d,bodybind
<S> h o r s,horse
<S> w h e,wheeling
<S> e d g,edges
<S> p r e f e,prefer
<S> s c,scudding
<S> h a,hammering
<S> c h i p p,chipped
<S> h o,hoarse
<S> t a n,tantrum
<S> l e a d,leading
<S> p,postage
<S> n u,nudged
<S> d o,dog's
<S> f o r,forevermore
<S> t h,thousands
<S> b u s,bustling
<S> r u m m,rummaging
<S> s h o u,shouldn'ta
<S> t e,teddy
<S> f i r,firs'
<S> u n p l,unpleasant
<S> h a,hate
<S> b e l,bell
<S> b u m p,bumped
<S> w o m e,women
<S> f i s,fishy
<S> h,hufflepuffs
<S> d i,didn'
<S> n o t h i,nothin'
<S> l e,learned
<S> l e a,leapt
<S> m a,marbles
<S> h a p p e,happened
<S> e a r n,earned
<S> a r m c,armchair
<S> g,gleaming
<S> k e e,keeping
<S> f,further
<S> h,happily
<S> o u t,outside
<S> b,baker's
<S> k n i,knight's
<S> s p a r k l,sparkling
<S> s p i r a,spiral
<S> b,bent
<S> m e n t,mention
<S> c,crashes
<S> h e l,helped
<S> d e s t r,destroyed
<S> e,embarrassed
<S> a c c o r d,according
<S> h u n,hungry
<S> f r i,friendship
<S> p r e,pressed
<S> f a,face
<S> y e a r,year's
<S> r e t u r,return
<S> d a r l,darling
<S> s t,stool
<S> b u i l,build
<S> t o,toil
<S> s m a,smarmy
<S> m,mere
<S> b,bound
<S> e a s,easily
<S> a,alley
<S> a n x i,anxious
<S> f l o,flocking
<S> s n i f f l i n,sniffling
<S> h a,harp
<S> g e r o,geroff
<S> s q u a r e,squares
<S> p u,puffed
<S> s h,sharply
<S> g l,glittered
<S> t e,testing
<S> a d m i r,admirers
<S> d e,decorations
<S> s,school
<S> s p r,sprout's
<S> c o,constrictor's
<S> s n i,sniffy
<S> d,dared
<S> p a,pain
<S> b o,bottle
<S> f,flooding
<S> p u r,purpose
<S> a c,acting
<S> p i c,pickmeup
<S> s p u,spurt
<S> s p i r i t,spirits
<S> d e,describing
<S> i,ice
<S> w o u l,wouldn'
<S> c o n v,convince
<S> s h a,shaves
<S> i,it
<S> s,stood
<S> t a s,tasted
<S> p e r f e c t,perfectly
<S> s t,stupid
<S> f,fear
<S> s c,school's
<S> h a p p,happen
<S> e n d o f,endofyear
<S> s t i,sticks
<S> w r e s,wrestling
<S> p r,prefect
<S> w i,winning
<S> f l o o r,floors
<S> d a z e,dazed
<S> w a t c,watch
<S> w i,without
<S> c u r s,curse
<S> f i e,fields
<S> r i s,rise
<S> c a,cauldron
<S> h e a d,heading
<S> b u s,bustled
<S> b r,break
<S> l o o,loose
<S> f l,flitted
<S> c,clean
<S> r o w,rows
<S> s l o,slowly
<S> w e l,welcome
<S> p,prefer
<S> s a v,saving
<S> t e m p,temper
<S> b a k,baking
<S> c l i m b,climbing
<S> s t o l,stole
<S> e a,eaten
<S> a d m i r e,admirers
<S> p,petrified
<S> v i o l,violently
<S> m e,men
<S> o v e,overhead
<S> r e,reckon's
<S> l i v e,lived
<S> p a,paying
<S> s t e,step
<S> a t,ate
<S> o,obvious
<S> w e r,weren't
<S> g o,going
<S> k,knock
<S> d a n c,dancing
<S> p r o v o,provoked
<S> s i,sixty
<S> o,over
<S> t r y i n,trying
<S> g o,goblin
<S> c o m,complicated
<S> s h,shaped
<S> f i,fit
<S> b e n,bend
<S> m i,mirror
<S> g o o d b,goodbye
<S> m i,mist
<S> w,we
<S> n u,numbers
<S> r u n n,runnin'
<S> l i s t e,listened
<S> o n w,onward
<S> s l,slithering
<S> o,omen
<S> g r,grunt
<S> w r i,wrist
<S> s t e e l,steeling
<S> a,ajar
<S> t e m p e,temper
<S> m i s,mistakes
<S> t r e,treble
<S> ' g,'gar'
<S> l o o k i,looking
<S> t a p,tape
<S> s t,stick
<S> r o u,rounded
<S> s,sea
<S> a n t i d,antidark
<S> s l i,slip
<S> s i c,sickle
<S> g u a,guardin'
<S> d i f f,different
<S> m o t h e,mother
<S> d,dormice
<S> b,brave
<S> m,mind
<S> s n a,snatch
<S> s m,smell
<S> d r a i n e,drained
<S> m u,mum
<S> s o r c e r e r,sorcerer's
<S> a n,any
<S> c,call
<S> s n o r,snorted
<S> g o b,goblets
<S> w i n d o w s i l,windowsill
<S> f,forbidden
<S> g,george
<S> t h a n,thank
<S> p e n a,penalty
<S> r o w b o,rowboat
<S> g r,grimly
<S> h e a,heaven
<S> t h,the
<S> s n o u,snout
<S> i n f e r,inferno
<S> e,entrance
<S> c o,come
<S> f a,family's
<S> s,smooth
<S> d i r,dirt
<S> w h,white
<S> f,fly
<S> n i c,nicolas
<S> s w i,swift
<S> f r,free
<S> w h i,white
<S> a,asked
<S> s h,shadowy
<S> c h a,chase
<S> m u s,mustache
<S> r e m e m b e r,remembered
<S> t,thumpin'
<S> s c o w l,scowling
<S> i m,imagined
<S> m u t,mutely
<S> f a,fall
<S> e x p e,expect
<S> c o,confusing
<S> t,traveled
<S> s l,slow
<S> c o n s t a n t l,constantly
<S> c o n c e n,concentrating
<S> r e,reared
<S> b,bishop
<S> e a r,earth
<S> g a m e,gamekeeper's
<S> m a r m,marmalade
<S> e l i,elixir
<S> l e g,legendary
<S> f a,failed
<S> e x,explain
<S> c h e a t,cheating
<S> m e,meeting
<S> s h o,shop
<S> b l,bludgers
<S> u,uses
<S> a n,anxiety
<S> l,library
<S> b,boy
<S> a n,anxiously
<S> v,very
<S> s t r a y,strayed
<S> t,tank
<S> s h o w,showing
<S> b o a r,board
<S> l i,liked
<S> p o u r i,pouring
<S> l i n,lines
<S> p r,protected
<S> b e a u t i f u,beautiful
<S> b,bin
<S> t o,touch
<S> s c,scribbled
<S> r,rude
<S> o,odd
<S> r o,road
<S> f r i,friend
<S> y e a,yeah
<S> h a r,harp
<S> k,knuts
<S> f,fluid
<S> s t,staff
<S> h u,hut
<S> s c,screwed
<S> s,season
<S> b o w,bowl
<S> s p e e,speed
<S> s e,september
<S> d e,decide
<S> h e a d,headfirst
<S> d i s c,discovered
<S> m o t h e,mother's
<S> j o k i,joking
<S> p o s t,posts
<S> b r,brazil
<S> i n d e,indeed
<S> m a s t,master
<S> t h,thin
<S> h u,hugging
<S> g r o,growls
<S> s h,shape
<S> c r o u,crouched
<S> c r,crept
<S> d r e a d l,dreadlocks
<S> v a m,vampires
<S> p o,poltergeist
<S> u n s e,unseen
<S> h e a d,headed
<S> k,kicked
<S> s c e,scented
<S> s e,seen
<S> c o l l,collect
<S> f e,feather
<S> h a l l o,halloween
<S> h o m e w o r,homework
<S> g l,gleaming
<S> b a r b,barbers
<S> s,sneer
<S> s q,squashy
<S> h a,hatched
<S> c,conductor
<S> o u r s e l v e,ourselves
<S> p l u,plump
<S> p e e v,peeves's
<S> s u,sunday
<S> f e e t,feet'
<S> t u r,turpin
<S> p u,pub
<S> d i d n,didn't
<S> e,each
<S> g e,gets
<S> r o o t,rooted
<S> b e l i e v,believed
<S> h e,he'
<S> d r a,dragons
<S> s h,shut
<S> j o s,jostled
<S> s q u,squashy
<S> a p o l o,apologized
<S> f e l,felt
<S> t r,trifle
<S> g r,grayfaced
<S> a d m i t t,admitted
<S> w,wishing
<S> d e v,devil's
<S> r a,rabbitin'
<S> t h,they're
<S> m,mother
<S> u r g e,urgently
<S> m,muddy
<S> a n y,anyone's
<S> b r e,breaks
<S> p,pig
<S> h e,hermione's
<S> w,wrong'
<S> e m e r a,emerald
<S> h,hardly
<S> s t,stretched
<S> s n o w b a,snowball
<S> m e,measuring
<S> p r,presents
<S> t,twinkling
<S> m a r,marched
<S> c h a,chaser
<S> t,treacle
<S> w r e s t,wrestling
<S> n a m e ',name's
<S> r,remembrall
<S> f r o,front
<S> g i,girls
<S> b i s c u,biscuits
<S> q u i,quiver
<S> v i,visited
<S> b l,blinking
<S> s l,sliding
<S> c u,cup'll
<S> s t a,stand
<S> s h r i,shrilly
<S> p a,paraded
<S> c o,courage
<S> i,infusion
<S> s h o,show
<S> f l,flicked
<S> p,pushing
<S> c h e,cheered
<S> p a n,panted
<S> s,say
<S> n o t h i n,nothin'
<S> i,ignored
<S> m a s t e,master
<S> c,crisply
<S> c r o s s,crossly
<S> f,flat
<S> m e n t,mentionin'
<S> s p e a,speared
<S> c r,creaked
<S> s,skidding
<S> h e,heel
<S> b,bend
<S> t h a t,that'll
<S> n a,names
<S> o w n,owned
<S> d,dressed
<S> s h o w i,showing
<S> h u s,hush
<S> b r o o m,broomshed
<S> a t t a c,attack
<S> t h,they
<S> b,bill
<S> u n,unexpected
<S> b o t,bottle
<S> i n t e,intently
<S> f,far
<S> s e,session
<S> p o p,popped
<S> f o r,forgettin'
<S> r u,rubeus
<S> y v,yvonne
<S> y e l,yelled
<S> ' t,'to
<S> t a l,tallest
<S> b a,backward
<S> t r,truth
<S> s i,sitting
<S> m,made
<S> g l,glad
<S> f l,flap
<S> p u d,puddin'
<S> d r a c,draconis
<S> h a,hanging
<S> y o u r,yourself
<S> r e,remembrall
<S> s t e,sternly
<S> t,thursday
<S> s,scabby
<S> m o m e n t,moments
<S> s,shrieked
<S> d,dragged
<S> p,practicing
<S> c,cat
<S> b e,bend
<S> c a m,came
<S> r e,reckons
<S> c o,conductor
<S> p l a t,plates
<S> t r e,treasure
<S> m i,mistaking
<S> k n o,knock
<S> s,selfish
<S> w h o,whooshing
<S> h,ha
<S> n e,needn't
<S> b u s t,bustled
<S> t o o t h,toothless
<S> o,overtake
<S> o v e r,overhead
<S> w,wham
<S> f,favorite
<S> b l,blossoming
<S> s,spot
<S> e l e m,element
<S> b,blocking
<S> m e e,meet
<S> j,jacket
<S> c a p,caput
<S> f e r,ferociously
<S> l o c,locomotor
<S> s h r i l,shrilly
<S> h e,hermione'll
<S> p a c,packed
<S> p a,parkinson
<S> n n,nnothing
<S> f u r i o u s l,furiously
<S> v a c,vacation
<S> f i r s,firsties
<S> t,trying
<S> c o,coolly
<S> h i t c,hitch
<S> d a n,dangerous
<S> f,frying
<S> a p p,appeared
<S> r u,rude
<S> h,huge
<S> d i s c o v,discover
<S> s,station
<S> l a u,laugh
<S> l i,lined
<S> s i,silent
<S> m u s t,mustached
<S> g,grubbylooking
<S> w h i t,white
<S> p,potionmaking
<S> f o,forgotten
<S> s i,sizing
<S> f l,floor
<S> d,dear
<S> e a r t,earth
<S> f l i g h,flight
<S> w i,windmill
<S> n i c o,nicolas
<S> c,clapping
<S> s,sob
<S> e l,elastic
<S> b a w l i n,bawling
<S> c l a,clasped
<S> s m a r,smarmy
<S> t e a c,teach
<S> w a n t i n,wanting
<S> t h r o,throwing
<S> f e a r,feared
<S> s p r,springy
<S> g i n g,gingerly
<S> p,pressure
<S> s i n g s,singsong
<S> s t e,steady
<S> f o r e h e a,forehead
<S> o r n a,ornate
<S> s m,small
<S> f a,fat
<S> r,risky
<S> c h a,changed
<S> f a b u l,fabulous
<S> e x a,examine
<S> s h e,she'll
<S> h u,hurting
<S> p a t,patting
<S> d r a c o,draconis
<S> l a,laws
<S> b,bones
<S> b e e t,beetle
<S> i l l e,illegal
<S> s e a,seamus
<S> s t,stooping
<S> g,gap
<S> b,blame
<S> p l,plays
<S> s t a c,stacked
<S> s h a,share
<S> s e,serious
<S> f u,full
<S> w r i,wristwatches
<S> h,halfheartedly
<S> d i v e r,diversion
<S> s u,supposed
<S> g u a r,guard
<S> c o,concen
<S> h o,hollow
<S> b i,bird
<S> h i d i,hiding
<S> s t r u g g l i n,struggling
<S> r,reasons
<S> h,hang
<S> f,forehead
<S> m,moment
<S> g r e e,greener
<S> m,mars
<S> p a c k,packed
<S> s w u,swung
<S> d e m a,demanded
<S> r e f,referee
<S> h u,hurt
<S> b l i n,blink
<S> a,argued
<S> h o u s,houses
<S> h u d d l,huddle
<S> d e s t r o,destroyed
<S> p e l,pellets
<S> y e,ye'
<S> k n i g,knight's
<S> d a,dawned
<S> s c h,school's
<S> m i,minds
<S> t,towered
<S> f o,for
<S> w o,wondering
<S> w a y,ways
<S> s h,shabby
<S> b,beans
<S> f i n,finds
<S> s h,short
<S> s e c o n d,seconds
<S> a s t r,astronomy
<S> a f t e,afterward
<S> b o,bones
<S> h o,how
<S> s a h,sahara
<S> t r u,truth
<S> a n,angelina
<S> u,unicorns
<S> k,kitchens
<S> b a t,battered
<S> r,red
<S> m i s s,misses
<S> o l d,older
<S> s a,saved
<S> y o,your
<S> s e e m,seeming
<S> a s l,asleep
<S> k i,kick
<S> a p o l o g,apologized
<S> r e m,remembers
<S> w,works
<S> o u t l i,outlines
<S> c,course
<S> i n s,inside
<S> r a c k e,racket
<S> d r,dropped
<S> c u,cured
<S> w e e,weeks
<S> w a,wasn't
<S> p,proud
<S> g,gain
<S> e y,eyebrows
<S> b,by
<S> b o i,boils
<S> w e,weather
<S> s,shivering
<S> l,lent
<S> n o i,noise
<S> r a,ravenclaw
<S> r e v o l t i,revolting
<S> l e,league
<S> b l,blocking
<S> c l i m,climbed
<S> p o s i,positions
<S> f l a t,flattering
<S> p,puzzlement
<S> r,resign
<S> c e,ceremony's
<S> h,hair
<S> s h a,sharp
<S> g e n,gentle
<S> b,boys
<S> w a t c h,watching
<S> i n t e r,interrupted
<S> p r o,profit
<S> p l e a s,pleasure
<S> s a h a,sahara
<S> c e n t u r i e,centuries
<S> l y,lying
<S> y,years
<S> u n l,unlocked
<S> f l i c,flick
<S> n e,neatly
<S> s p,speak
<S> c o,combination
<S> u,understood
<S> s h o v e,shoveling
<S> c r,crash
<S> s p,speedy
<S> r e,reserve
<S> d e,deserted
<S> k e e,keeper's
<S> e,earlier
<S> r e m i,reminds
<S> d e p t h,depths
<S> d i s g,disgusted
<S> i n,interested
<S> p o s t,posts
<S> p r e,prefect
<S> ' d u m b l e d o r,'dumbledore
<S> d r o,drops
<S> s c r,screwed
<S> l e c t u r i,lecturin'
<S> a,at
<S> r a i,raise
<S> d y,dying
<S> t,tourists
<S> f i s h,fishy
<S> f l,flickered
<S> p l i,pliable
<S> f o r g,forgettin'
<S> s e,seems
<S> s h a p,shapeless
<S> a,afternoon's
<S> s t a,stage
<S> i n c r e d i,incredible
<S> g r,gran
<S> f,feet
<S> u n s e e,unseen
<S> d i v,dives
<S> w i,wizardry
<S> p,pleaded
<S> c r,crazy
<S> s p l,split
<S> e b o n,ebony
